Iterations,Accuracy
0,0.0793651
1,0.349206
2,0.349206
3,0.349206
4,0.0952381
5,0.349206
6,0.111111
7,0.349206
8,0.111111
9,0.0952381
10,0.349206
11,0.0952381
12,0.111111
13,0.15873
14,0.0793651
15,0.111111
16,0.396825
17,0.428571
18,0.349206
19,0.365079
20,0.396825
21,0.444444
22,0.444444
23,0.111111
24,0.333333
25,0.206349
26,0.206349
27,0.285714
28,0.460317
29,0.206349
30,0.206349
31,0.285714
32,0.349206
33,0.460317
34,0.460317
35,0.460317
36,0.460317
37,0.492063
38,0.460317
39,0.47619
40,0.47619
41,0.428571
42,0.492063
43,0.492063
44,0.492063
45,0.52381
46,0.507937
47,0.492063
48,0.47619
49,0.47619
50,0.47619
51,0.507937
52,0.492063
53,0.492063
54,0.47619
55,0.492063
56,0.52381
57,0.47619
58,0.492063
59,0.52381
60,0.507937
61,0.492063
62,0.539683
63,0.52381
64,0.539683
65,0.539683
66,0.52381
67,0.571429
68,0.539683
69,0.539683
70,0.555556
71,0.52381
72,0.507937
73,0.539683
74,0.555556
75,0.507937
76,0.52381
77,0.539683
78,0.555556
79,0.507937
80,0.492063
81,0.52381
82,0.555556
83,0.555556
84,0.507937
85,0.555556
86,0.555556
87,0.555556
88,0.555556
89,0.539683
90,0.555556
91,0.555556
92,0.555556
93,0.52381
94,0.555556
95,0.555556
96,0.555556
97,0.539683
98,0.555556
99,0.555556
100,0.507937
101,0.539683
102,0.507937
103,0.555556
104,0.507937
105,0.555556
106,0.555556
107,0.555556
108,0.555556
109,0.539683
110,0.571429
111,0.555556
112,0.555556
113,0.555556
114,0.539683
115,0.555556
116,0.555556
117,0.555556
118,0.555556
119,0.555556
120,0.555556
121,0.555556
122,0.555556
123,0.52381
124,0.555556
125,0.555556
126,0.555556
127,0.555556
128,0.555556
129,0.555556
130,0.555556
131,0.587302
132,0.555556
133,0.555556
134,0.555556
135,0.555556
136,0.555556
137,0.555556
138,0.555556
139,0.555556
140,0.555556
141,0.555556
142,0.555556
143,0.587302
144,0.555556
145,0.555556
146,0.555556
147,0.587302
148,0.555556
149,0.555556
150,0.555556
151,0.555556
152,0.555556
153,0.555556
154,0.555556
155,0.571429
156,0.555556
157,0.555556
158,0.571429
159,0.555556
160,0.571429
161,0.555556
162,0.555556
163,0.555556
164,0.555556
165,0.555556
166,0.555556
167,0.555556
168,0.555556
169,0.571429
170,0.571429
171,0.555556
172,0.555556
173,0.555556
174,0.555556
175,0.555556
176,0.555556
177,0.555556
178,0.555556
179,0.555556
180,0.555556
181,0.571429
182,0.555556
183,0.571429
184,0.555556
185,0.555556
186,0.571429
187,0.555556
188,0.555556
189,0.555556
190,0.571429
191,0.555556
192,0.587302
193,0.555556
194,0.555556
195,0.555556
196,0.555556
197,0.555556
198,0.571429
199,0.587302
200,0.587302
201,0.587302
202,0.555556
203,0.555556
204,0.555556
205,0.555556
206,0.555556
207,0.587302
208,0.587302
209,0.571429
210,0.555556
211,0.555556
212,0.555556
213,0.587302
214,0.571429
215,0.587302
216,0.571429
217,0.571429
218,0.587302
219,0.587302
220,0.555556
221,0.555556
222,0.587302
223,0.555556
224,0.555556
225,0.555556
226,0.571429
227,0.571429
228,0.571429
229,0.587302
230,0.587302
231,0.603175
232,0.587302
233,0.571429
234,0.587302
235,0.571429
236,0.587302
237,0.587302
238,0.571429
239,0.587302
240,0.555556
241,0.571429
242,0.587302
243,0.571429
244,0.587302
245,0.587302
246,0.587302
247,0.555556
248,0.555556
249,0.555556
250,0.555556
251,0.555556
252,0.571429
253,0.571429
254,0.571429
255,0.555556
256,0.587302
257,0.587302
258,0.587302
259,0.587302
260,0.571429
261,0.587302
262,0.587302
263,0.555556
264,0.555556
265,0.571429
266,0.587302
267,0.587302
268,0.587302
269,0.587302
270,0.587302
271,0.571429
272,0.571429
273,0.587302
274,0.571429
275,0.587302
276,0.587302
277,0.571429
278,0.571429
279,0.603175
280,0.571429
281,0.587302
282,0.587302
283,0.555556
284,0.603175
285,0.587302
286,0.587302
287,0.587302
288,0.587302
289,0.587302
290,0.587302
291,0.587302
292,0.587302
293,0.587302
294,0.587302
295,0.571429
296,0.587302
297,0.587302
298,0.603175
299,0.587302
300,0.571429
301,0.587302
302,0.587302
303,0.587302
304,0.587302
305,0.571429
306,0.603175
307,0.587302
308,0.603175
309,0.587302
310,0.603175
311,0.603175
312,0.603175
313,0.587302
314,0.603175
315,0.587302
316,0.587302
317,0.587302
318,0.603175
319,0.587302
320,0.603175
321,0.603175
322,0.587302
323,0.603175
324,0.587302
325,0.587302
326,0.603175
327,0.587302
328,0.603175
329,0.587302
330,0.587302
331,0.603175
332,0.571429
333,0.587302
334,0.587302
335,0.587302
336,0.603175
337,0.603175
338,0.571429
339,0.587302
340,0.603175
341,0.634921
342,0.603175
343,0.587302
344,0.603175
345,0.587302
346,0.619048
347,0.603175
348,0.587302
349,0.587302
350,0.603175
351,0.587302
352,0.571429
353,0.587302
354,0.587302
355,0.603175
356,0.603175
357,0.603175
358,0.603175
359,0.603175
360,0.587302
361,0.603175
362,0.619048
363,0.587302
364,0.603175
365,0.619048
366,0.587302
367,0.619048
368,0.619048
369,0.619048
370,0.619048
371,0.603175
372,0.571429
373,0.634921
374,0.603175
375,0.587302
376,0.603175
377,0.619048
378,0.619048
379,0.603175
380,0.603175
381,0.603175
382,0.587302
383,0.603175
384,0.603175
385,0.603175
386,0.619048
387,0.587302
388,0.634921
389,0.603175
390,0.603175
391,0.619048
392,0.587302
393,0.619048
394,0.603175
395,0.587302
396,0.603175
397,0.603175
398,0.603175
399,0.603175
400,0.603175
401,0.603175
402,0.587302
403,0.619048
404,0.587302
405,0.619048
406,0.587302
407,0.587302
408,0.603175
409,0.619048
410,0.603175
411,0.603175
412,0.603175
413,0.603175
414,0.619048
415,0.619048
416,0.587302
417,0.603175
418,0.587302
419,0.587302
420,0.603175
421,0.603175
422,0.603175
423,0.603175
424,0.603175
425,0.603175
426,0.587302
427,0.571429
428,0.603175
429,0.603175
430,0.587302
431,0.587302
432,0.603175
433,0.619048
434,0.603175
435,0.634921
436,0.603175
437,0.650794
438,0.603175
439,0.587302
440,0.603175
441,0.603175
442,0.603175
443,0.603175
444,0.587302
445,0.603175
446,0.571429
447,0.603175
448,0.603175
449,0.650794
450,0.603175
451,0.603175
452,0.603175
453,0.603175
454,0.603175
455,0.587302
456,0.619048
457,0.603175
458,0.603175
459,0.603175
460,0.603175
461,0.603175
462,0.619048
463,0.619048
464,0.603175
465,0.650794
466,0.571429
467,0.587302
468,0.603175
469,0.603175
470,0.603175
471,0.603175
472,0.603175
473,0.603175
474,0.603175
475,0.603175
476,0.619048
477,0.650794
478,0.603175
479,0.603175
480,0.603175
481,0.603175
482,0.587302
483,0.587302
484,0.619048
485,0.603175
486,0.603175
487,0.603175
488,0.603175
489,0.603175
490,0.587302
491,0.619048
492,0.603175
493,0.603175
494,0.603175
495,0.603175
496,0.603175
497,0.587302
498,0.603175
499,0.587302
500,0.603175
501,0.603175
502,0.587302
503,0.587302
504,0.555556
505,0.587302
506,0.587302
507,0.603175
508,0.587302
509,0.603175
510,0.603175
511,0.603175
512,0.619048
513,0.587302
514,0.634921
515,0.603175
516,0.603175
517,0.619048
518,0.571429
519,0.587302
520,0.698413
521,0.603175
522,0.603175
523,0.619048
524,0.603175
525,0.603175
526,0.603175
527,0.603175
528,0.603175
529,0.650794
530,0.650794
531,0.603175
532,0.587302
533,0.650794
534,0.603175
535,0.603175
536,0.603175
537,0.619048
538,0.603175
539,0.603175
540,0.587302
541,0.603175
542,0.603175
543,0.68254
544,0.603175
545,0.619048
546,0.603175
547,0.619048
548,0.603175
549,0.603175
550,0.603175
551,0.619048
552,0.587302
553,0.650794
554,0.603175
555,0.587302
556,0.571429
557,0.603175
558,0.587302
559,0.603175
560,0.587302
561,0.634921
562,0.587302
563,0.68254
564,0.619048
565,0.603175
566,0.603175
567,0.666667
568,0.603175
569,0.68254
570,0.603175
571,0.603175
572,0.603175
573,0.603175
574,0.666667
575,0.603175
576,0.666667
577,0.603175
578,0.603175
579,0.603175
580,0.634921
581,0.603175
582,0.587302
583,0.603175
584,0.603175
585,0.603175
586,0.587302
587,0.587302
588,0.603175
589,0.68254
590,0.603175
591,0.619048
592,0.603175
593,0.619048
594,0.603175
595,0.603175
596,0.603175
597,0.603175
598,0.666667
599,0.68254
600,0.587302
601,0.666667
602,0.587302
603,0.603175
604,0.587302
605,0.650794
606,0.587302
607,0.666667
608,0.603175
609,0.603175
610,0.587302
611,0.587302
612,0.68254
613,0.619048
